2020-04-09 15:39:18.264[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mybatis.pagehelper.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-09 15:39:18.283[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mybatis.pagehelper.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-09 15:39:18.285[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mybatis.pagehelper.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-09 15:39:18.559[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mybatis.pagehelper.MybatisPagehelperDemoApplication for test class com.mybatis.pagehelper.mapper.MessageMapperTest
2020-04-09 15:39:18.740[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-09 15:39:18.770[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@5dd1c9f2, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@59b38691, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2e2ff723, org.springframework.test.context.support.DirtiesContextTestExecutionListener@324a0017, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6187d1f5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2445445a, org.springframework.test.context.event.EventPublishingTestExecutionListener@7502291e, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@17aad511, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@487db668, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@46944ca9, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@22bac7bc, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@63798ca7]
2020-04-09 15:39:20.882[main][main] INFO  c.m.p.mapper.MessageMapperTest - Starting MessageMapperTest on ZHA-HP with PID 152112 (started by zhayh in E:\02-back end\00-teaching\02-SpringBoot\02-code\awesome-spring-boot\chapter-7\mybatis-pagehelper-demo)
2020-04-09 15:39:20.883[main][main] INFO  c.m.p.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-09 15:39:21.886[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-09 15:39:23.665[main][main] INFO  c.m.p.mapper.MessageMapperTest - Started MessageMapperTest in 4.826 seconds (JVM running for 7.64)
2020-04-09 15:39:24.533[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-09 15:39:26.430[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-09 15:39:26.498[main][main] INFO  c.m.p.mapper.MessageMapperTest - 插入的数据条数： 1
2020-04-09 15:39:26.696[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=3, msgText=桃花, msgSummary=春天)
2020-04-09 15:39:26.697[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=4, msgText=niit, msgSummary=学校)
2020-04-09 15:39:26.699[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=5, msgText=computer1, msgSummary=水果)
2020-04-09 15:39:26.699[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=6, msgText=computer, msgSummary=学校)
2020-04-09 15:39:26.699[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=7, msgText=apple, msgSummary=水果)
2020-04-09 15:39:26.700[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=8, msgText=orange, msgSummary=水果)
2020-04-09 15:39:26.700[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=9, msgText=niit, msgSummary=学校)
2020-04-09 15:39:26.700[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=10, msgText=apple, msgSummary=水果)
2020-04-09 15:39:26.701[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=11, msgText=orange, msgSummary=水果)
2020-04-09 15:39:26.701[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=12, msgText=orange, msgSummary=水果)
2020-04-09 15:39:26.701[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=13, msgText=orange, msgSummary=水果)
2020-04-09 15:39:26.702[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=14, msgText=niit, msgSummary=学校)
2020-04-09 15:39:26.702[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=15, msgText=apple, msgSummary=水果)
2020-04-09 15:39:26.702[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=16, msgText=orange, msgSummary=水果)
2020-04-09 15:39:26.703[main][main] INFO  c.m.p.mapper.MessageMapperTest - 查询的数据： Message(msgId=17, msgText=niit, msgSummary=学校)
