2020-04-06 21:58:02.545[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mybatis.pagehelper.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-06 21:58:11.128[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(2) Message Message(msgId=5, msgText=apple, msgSummary=水果)
2020-04-06 21:58:11.129[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(2) Message Message(msgId=6, msgText=orange, msgSummary=水果)
2020-04-06 21:58:11.129[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(2) Message Message(msgId=7, msgText=niit, msgSummary=学校)
2020-04-06 21:58:11.129[main][main] INFO  c.m.p.mapper.MessageMapperTest - ====================
2020-04-06 21:58:11.135[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=2, msgText=computer, msgSummary=水果)
2020-04-06 21:58:11.135[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=3, msgText=orange, msgSummary=水果)
2020-04-06 21:58:11.135[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=4, msgText=niit, msgSummary=学校)
2020-04-06 21:58:11.135[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=5, msgText=apple, msgSummary=水果)
2020-04-06 21:58:11.135[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=6, msgText=orange, msgSummary=水果)
2020-04-06 21:58:11.136[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=7, msgText=niit, msgSummary=学校)
2020-04-06 21:58:11.136[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=8, msgText=apple, msgSummary=水果)
2020-04-06 21:58:11.137[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=9, msgText=orange, msgSummary=水果)
2020-04-06 21:58:11.138[main][main] INFO  c.m.p.mapper.MessageMapperTest - ====================
2020-04-06 21:58:11.403[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=2, msgText=computer, msgSummary=水果)
2020-04-06 21:58:11.404[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=3, msgText=orange, msgSummary=水果)
2020-04-06 21:58:11.404[main][main] INFO  c.m.p.mapper.MessageMapperTest - Page(1) Message Message(msgId=4, msgText=niit, msgSummary=学校)
2020-04-06 21:58:11.437[main][main] INFO  c.m.p.mapper.MessageMapperTest - PageInfo: PageInfo{pageNum=2, pageSize=3, size=3, startRow=4, endRow=6, total=8, pages=3, list=Page{count=true, pageNum=2, pageSize=3, startRow=3, endRow=6, total=8, pages=3, reasonable=true, pageSizeZero=true}[Message(msgId=5, msgText=apple, msgSummary=水果), Message(msgId=6, msgText=orange, msgSummary=水果), Message(msgId=7, msgText=niit, msgSummary=学校)], prePage=1, nextPage=3, isFirstPage=false, isLastPage=false, hasPreviousPage=true, hasNextPage=true, navigatePages=8, navigateFirstPage=1, navigateLastPage=3, navigatepageNums=[1, 2, 3]}
2020-04-06 21:58:11.466[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-06 21:58:11.528[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
